Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Aruba,ABW,Total fisheries production (metric tons),ER.FSH.PROD.MT,200,200,300,300,300,300,300,400,400,400,400,400,400,500,550,600,650,700,770,770,770,770,770,770,770,770,700,620,550,480,420,350,300,260,260,140,160,205,182,175,163,163,163,160,162,162,145,159,151,163,153,168,138,145,152,150,150,149.5,150,164.5,156.5,,
Africa Eastern and Southern,AFE,Total fisheries production (metric tons),ER.FSH.PROD.MT,1486120,1632579,1736024,1848866,2164562,2175249,2275639,2634300,3160076,3078754,2483550,2361563,2629383,2784223,2735783,2488155,2205189,2161670,2125062,2023112,1877834,1935700,1947710,2057719,1971750,2028395,2110890,2882453,2845612.31,2408608.03,2461551.2,2230131.75,2951750.31,3004857.36,2753431.08,2750471.74,2490417.15,2681242.83,2828871.37,2945802.95,3191970.91,3252340.56,3350561.83,3462639.25,3649563.25,3617389.65,3400533.2,3536602.7,3396199.35,3331922,3625420.24,3658877.4,4005190.52,3900040.2,4145805.85,4266614.19,4425209.52,4457929.64,4383843.13,4472768.98,4483893.95,,
Afghanistan,AFG,Total fisheries production (metric tons),ER.FSH.PROD.MT,200,300,300,300,300,300,300,400,400,460,460,560,560,560,560,660,770,770,770,770,870,870,870,970,970,970,970,1170,1170,1170,1400,1400,1500,1500,1600,1600,1600,1550,1500,1500,1300,1250,1350,1350,1450,1450,1450,2050,2050,2650,3250,4000,4780,5560,6360,7200,8050,9000,10000,10100,10050,,
Africa Western and Central,AFW,Total fisheries production (metric tons),ER.FSH.PROD.MT,490510,516010,563130,585050,649470,683780,743500,794096,785606,854431,965445,1137494,1205714,1202019,1242038,1280159,1267715,1300543,1313224,1302736,1283409,1320095,1310400,1374979,1347215,1366119,1482119,1558305,1535925,1631167,1690833.04,1613000.1,1786325,1691018,1654296,1880895,2089086,2140284,2168607,2280505,2280073,2322833,2270837,2467599,2548699.4,2605958.89,2485635.99,2486852.01,2691883.14,2782075,2953331.24,3234065.77,3401561.09,3494401.89,3585503.54,3534616,3852438.95,4499436.83,4620697.6,4383118.07,4206181.75,,
Angola,AGO,Total fisheries production (metric tons),ER.FSH.PROD.MT,257300,246800,274800,245300,362000,263300,335300,299300,303100,425200,374501,324322,606656,478659,399784,160581,81542,120407,125630,113072,85085,130957,111488,110376,95188,100093,84660,107490,126031,137465,133088,117104,113625,126200,132413,122781,137815,146304,163149,175799,239356,254564,255494,212105,240094,202742,225897,306626,306050,272302,310310,342310,374310,407057,442389,496104,487145,532914,444828,402696,379407,,
Albania,ALB,Total fisheries production (metric tons),ER.FSH.PROD.MT,2600,3200,2800,3000,3000,4000,4000,5000,6000,7000,8000,8000,8000,8000,8500,8500,8500,8500,9000,9000,9000,9376,9511,9815,8006,11399,11922.2,13134.4,14559.3,11961.4,15015.6,3871,3093.2,2889,2495,1720.3,2449.2,1110.8,2807.5,3057.9,3635,3597.2,4516.8,4274.6,6118.5,6473,7709.3,7505.4,7365,8128,7852.2,7350.2,12255.2,12873.09,12905.05,11550.1,12812.09,13193.2,15106.3,15211.5,16911.16,,
Andorra,AND,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total fisheries production (metric tons),ER.FSH.PROD.MT,479480,510298,536670,547412,600475,598028,700226,646034,620421,640537,693688,711866,761307,931557,909838,875647,948255,921432,928623.9,959106.8,1010701.1,1064491.08,1062279.64,1210191.24,1234053.88,1325988.99,1474114.55,1481874.05,1642974.65,1564021.32,1611565.06,1659937.55,1656123.81,1742518.32,1955875.47,2111049.68,1901250.81,2112098.51,2150377.7,2306894.98,2571920.93,2934013.49,2865196.47,2989436.22,3105230.47,3267636.11,3122025.44,3168951.72,3248386.5,3532119.09,3724651.97,3652585.63,4061532.35,4194415.21,4287585.5,4343083.2,4858978.54,5128399.8,5703618.26,5638308.22,5698480.76,,
United Arab Emirates,ARE,Total fisheries production (metric tons),ER.FSH.PROD.MT,30000,30000,35000,35000,35000,38000,38000,40000,40000,40000,40000,43000,43000,43000,67800,67800,64600,64600,64600,64600,64600,67760,69755,72716,72723,72267,79328,85252,89506,91162,95129,92336,95046,99600,108600,105884,107000,114358,114739,117607,105456,112561,97574,97450,90570,87325,101013,97097,75418,77835,70788,67026,69586,64158,66814,62555,63604.9,66770,67367,64500,69528.78,,
Argentina,ARG,Total fisheries production (metric tons),ER.FSH.PROD.MT,104732,101900,101307,130573,168608,205005,250805,240868,223132,202815,214519,228631,237975,302020,296001,232251,281776,402780,541959,580735,400101,374882,488235,428207,322713,419740,422694,461921,496394,494983,561157,642712,746080,985615,1000577,1177109,1291387,1390864,1166444,1088156,924073,932622,947992,912930,947826,936066,1179144,995575,1002649,875214.95,820816.35,819181.25,765518.42,894130.12,857438.71,839512.65,774825.48,852835.76,841414.31,857234.19,862006.99,,
Armenia,ARM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7017,7342,7755,4570,4450,4100,2603,1941,1230,1250,1135,2033,2026,2197,1485,1633,1031,989,1406,4715,5701,5859,5617,7095,9711,15799,18720,23270,20139,17054,17369,18270,18892,,
American Samoa,ASM,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,100,82,136,113,202,193,183,148,153,112,112,152,118,181,78,123,102,42,50,60,40,132,176,225,448,610,554,851,3677,6949,5099,4051,4029,5367,6537,4442,4962,5140.78,3607.12,4391.96,2861.43,2446.77,4377.95,2272.27,2337.88,2048.42,1454.78,891.17,,
Antigua and Barbuda,ATG,Total fisheries production (metric tons),ER.FSH.PROD.MT,600,800,800,800,700,800,800,800,800,800,900,900,1200,1500,1590,1601,1613,1821,1620,1219,1171,1157,950,1063,1465,2407,2400,1985,1488,990,875,1481,1692,1046,1100,1581,1439,1644,1680,1631,1728,1802,2348,2546,2478,2953,3049,3047,3397,2424,2227,3067,5969,4624,3135,3185,3185,3185,3185,3185,3185,,
Australia,AUS,Total fisheries production (metric tons),ER.FSH.PROD.MT,63154,63715,68456,73719,74042,84544,96314,100344,110995,99258,105017,116829,127650,129661,144566,114576,116011,148321,141518,146614,145867,162333,180767,178168,185799,172379,192817,222489,235050,213893,249906,261985,272849,278189,247293,260533,256040,256006,262843.44,274068,251796,252991,256881.04,280016.63,300916.05,318685.28,280780.48,269816.43,273119.78,271736.65,287341.25,285898.17,293231.7,272076.86,260515.5,280448.07,306667.66,314269.1,313107.8,301839.84,314528.28,,
Austria,AUT,Total fisheries production (metric tons),ER.FSH.PROD.MT,4200,4200,4500,4600,4900,5100,4900,4200,4000,3500,3200,2900,2600,2200,2070,2040,2360,2470,3700,4100,4300,4400,4500,4700,4700,4800,4700,4600,5100,5000,3659,3635,3619,3560,3491,3322,3399,3483,3360,3499,3286,2755,2683,2605,2667,2790,2863,2889,2437,2491,2517,3254.3,3425.5,3587,3740.3,3853.4,3833.4,4211.6,4340.6,4600.04,4877.37,,
Azerbaijan,AZE,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56996,54406,41665,39663,32029,22934,19939,11061,7121,5525,4971,21082,18937,10988,11268,6565,9608,9501,4661,3849,2524,2206,2131,1578,1277.1,1182,1234,1187.2,1379,1660,2092,1708.4,2622,,
Burundi,BDI,Total fisheries production (metric tons),ER.FSH.PROD.MT,9200,5300,7200,10600,9700,20200,16600,12300,15000,15600,13300,16900,7500,8500,10982,14547,20333,18900,15682,11250,14767,11880,12131,11366,11363,11371,11861,12034,11701,10787,17425,21044,24123,17050,22050,21151,3091,20346,13476,9249,17365,9014,11050,14747,13905,13450,13028,11359,18315,12665,17322.3,10715.7,12469.4,13617,16859,21446,23205,20469,21860,21927,21039,,
Belgium,BEL,Total fisheries production (metric tons),ER.FSH.PROD.MT,63700,61600,59900,62000,59500,59700,62800,63800,68200,58700,53000,60200,59000,53300,46820,49031,44503,45372,50597,47157,45705,49426,48044,48835,48181,45555,39996,40831,42241,40368,42135,40737,37966,36935,35100,36445,31769,31346,31681,31473,31671,32039,30862,28092,27493,25000,23176,24669,22735,22313,22957,22578,24951,25891,27007,24803,27014,24724,23116,21436,20162.8,,
Benin,BEN,Total fisheries production (metric tons),ER.FSH.PROD.MT,26000,28000,30000,25000,26000,20000,18800,35600,35900,36600,43110,43404,43202,40673,39402,37533,37104,36528,35879,35700,37832,37768,37521,34628,35290,36371,38753,41903,37346,41860,38234,35083,32488,39221,39923,44379,42175,43785,42139,40437,32324,38415,40670,41655,39995,31847,41922,36564,37708,39236,40155,39248,40864,43083,49008,40936.66,54013,52732.66,60073.14,79227.35,76951.91,,
Burkina Faso,BFA,Total fisheries production (metric tons),ER.FSH.PROD.MT,2000,2500,2500,3000,3500,3500,4000,4500,4500,4500,5000,5000,4000,5000,5000,5000,6000,6000,7000,7000,6500,7500,7000,7214,7374,7433,7630,7826,7907,8006,7006,7005,7505,7000,8000,8000,8030,8045,8375,7625,8505,8505,8505,9005,9005,9065,9750,10548,11568,12075,14800,16360,20602,20820,21001,21030,22210,25720,27847,28383,29755,,
Bangladesh,BGD,Total fisheries production (metric tons),ER.FSH.PROD.MT,400570,450640,500720,500810,550910,601030,601150,601300,651460,651650,690100,740100,818100,820200,822082,640070,641605,643769,646895,647128,646970,651256,689498,726587,750196,766081,793191,805285,830593,839944,846144,900720,936195,1002567,1034980,1109462,1193874,1315290,1413953,1552417,1661384,1781057,1890459,1998197,2102026,2215957,2328545,2440011,2563296,2885864,3035101,3124677,3261781,3410254,3548545,3684645,3878924,4134436,4276641,4384696,4503371,,
Bulgaria,BGR,Total fisheries production (metric tons),ER.FSH.PROD.MT,8700,8100,9600,7500,13700,21183,27375,44881,61484,84473,94201,100704,111017,102010,118559,158121,167144,137997,99028,86107,125187,106673,115618,121126,115567,100223,109452,111652,118018,102966,57103,57854,32148,21555,12685,12627,13581,16674,23198,18336,12317,11612,17316,16500,10741,8579,10801,12935,14021,15700.52,18689.63,15150.41,15556.16,21821.58,19859.18,22365.27,24376.38,24311.18,24940.73,26843.24,21347.59,,
Bahrain,BHR,Total fisheries production (metric tons),ER.FSH.PROD.MT,1500,1500,1500,1800,1800,2000,2500,2800,3000,3300,3500,3600,3700,3800,3900,4000,4084,4837,4000,3801,5115,5747,5594,4812,5599,7763,8057,7842,6736,9207,8105,7553,7983,8958,7628,9393,12943,10050,9850,10623,11730,11230,11207,13642,14497,11858,15595,15014,14178,16358,13493.19,9918.42,27092.72,14976,15859.7,15546,15014.21,15005.5,15005.5,14855.5,14419.5,,
Bahamas, The,BHS,Total fisheries production (metric tons),ER.FSH.PROD.MT,1600,1500,1600,1700,1900,2950,3800,2950,2750,2350,3379,3552,3372,4400,4663,4693,4750,5327,5114,5765,7119,7631.79,7737.04,8548.15,8440.07,11206.82,8695.9,10557.03,10515.66,9857.61,9758.18,11895.54,12215.54,13703.94,14931.02,13269.48,14100.15,14720.59,14578.69,13668,15529,13684,15700,16776,15194,15640,16294,10942,14833,13826.83,16343.44,15314,16757.83,12766,11887.57,11316.62,11634,11485.94,11005.53,10151.91,7439.16,,
Bosnia and Herzegovina,BIH,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,201,201,201,252,253,254,255,255,255,4940,6890,6699,7375,7926,7747,7894,7925,7925,5275.2,3943.3,3228.5,3702,4755.6,4868.6,4065.4,3943.8,4262.4,4080.8,,
Belarus,BLR,Total fisheries production (metric tons),ER.FSH.PROD.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,21457,19626,15543,9922,10011,7721,6178,6859,4821,5184,5804,7269,5610,7543,6196,4733,6242,9051,14780,15445,16485,17162,17415,16464,14245,11424,9999.9,11887.3,11126.8,12381.3,10252.7,10205.38,,
Belize,BLZ,Total fisheries production (metric tons),ER.FSH.PROD.MT,900,600,800,900,900,800,900,1300,1300,1600,1500,1800,1900,1600,1618,1603,1613,3082,2808,2554,2066,2252,2288,2641,2672,2427,1861,2059,2151,2312,2132,2679,2715,4573,8326,10669,13172,26185,28242,54990,33952,35206,88760,53518,81472,111585,193397,308817,368802,309942,407338.7,282596.29,177822.85,41853.6,83413.95,101727.25,92577.52,121705.06,217520.04,214551.32,187464.16,,
Bermuda,BMU,Total fisheries production (metric tons),ER.FSH.PROD.MT,500,500,400,400,450,450,500,500,550,550,900,2380,2820,3220,3599,4572,7208,7635,8723,6347,4105,2024,2348,927,538,670,820,821,773,774,463,428,432,404,394,449,465,461,466,453,290,309,397,363,386,401,381,425,401,416,375,478,516,461,417,407,410,380,354,374,358.48,,
Bolivia,BOL,Total fisheries production (metric tons),ER.FSH.PROD.MT,700,500,1300,1400,1900,1800,1700,1500,1300,1200,1100,1300,1500,1500,1050,1050,1250,1550,1550,3650,4379,5617,4105,4105,4105,4170,3871,54271,34427,6024,7724,5367,7895,6167,5970,6308,6368,22386,8197,23950,6511,34430,37736,50502,43185,58120,50978,55470,61969,36228,31994,56255,66967,69747,93360,77773.5,53922,64620,40884,213901,17830,,
Brazil,BRA,Total fisheries production (metric tons),ER.FSH.PROD.MT,251813,276183,380156,335994,369280,389141,393610,420359,495735,492920,573843,614444,620941,760744,715985,753886,661029,732746,755369,784339,809538,812314,832738,882168,961169,968155,957550,947992,830102,798638,640295,671565,670761,683737,745220,653503,694326,739732,712936,751180,850647,937272,1009441,998622,1023273,1008683,1051789,1084278,1130496,1199680,1198322,1205862,1306115.47,1269997.01,1342772.97,1301467.09,1261945.96,1295066.44,1299204.27,1319865.21,1339640.84,,
Barbados,BRB,Total fisheries production (metric tons),ER.FSH.PROD.MT,5213,4613,4713,2813,2113,2613,4813,4613,3213,3013,2313,2313,2313,2613,2668,4223,4952,3188,3597,4267,3747,3423,3492,6534,5784,3832,4112,3610,8939,2585,3029,2292,3585,3225,2829,3592,3523,2820,3655,3281,3185,2731,2530,2849,2159,2193,1988,2237,3564,3509,3282,1828.39,1371.13,2990.36,2226.82,1519.45,1760.98,1721.82,1701.17,1522.08,1542.1,,
Brunei Darussalam,BRN,Total fisheries production (metric tons),ER.FSH.PROD.MT,800,900,900,1000,1000,1100,1200,1200,1300,1300,1500,1500,1500,1500,1560,1570,1644,2193,2704,2792,2225,2367,2357,3055,3425,3967,4106,3916,2042,2318,2354,1652,1709,1764,4517,4822,5848,4678,5221,3380,2600,1696,2215,1949,2632,3163,2754,3172,2830,2391,2850.98,2684,5073,3386.85,3897.07,4353.14,14239.63,13496,14811.99,14623.57,16591.07,,
Bhutan,BTN,Total fisheries production (metric tons),ER.FSH.PROD.MT,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,145,140,135,130,125,120,115,125,117,131,130,125,115,110,105,100,95,90,85,80,75,70,65,70,65,60,55,56,54,52,79,80.34,72.8,144,156,197,238,238.62,224.27,196,,
Botswana,BWA,Total fisheries production (metric tons),ER.FSH.PROD.MT,400,400,500,500,500,500,600,600,800,800,800,1100,1200,1200,1200,1200,1600,1500,1000,1000,1250,1450,1400,1250,1500,1500,1700,1900,1900,3600,1900,1718,2124,8014,987,899,428,498,193,166,177,270,139,131,161,132,81,442,460,1699,1560,2234,3178,4431,5668,4541,953,3258,1663,2033,2429,,
Central African Republic,CAF,Total fisheries production (metric tons),ER.FSH.PROD.MT,2000,2000,2000,2500,2500,3000,4000,5000,5000,6000,7000,8000,8000,10000,11883,8049,10480,13030,13047,13064,13080,13094,13111,13128,13309,13288,13193,13088,13079,13082,13105,13605,13338,13551,13755,13960,14150,14330,14580,15117,15120,17125,19125,21125,23125,25125,27140,29140,31140,33140,35170,35170,32182,30195,29195,28195,29205,29205,29219,29219,29219,,
